ind;relfr;laplace;piegat;cestnik;cestnik_pd0.3;cestnik_pd0.5;cestnik_pd1.0
1-1;0,020045;0,32675;0,287138908;0,006681667;0,100092773;0,166639114;0,3255913
1-2;0,094676;0,29988;0,26345478;0,031558667;0,094215482;0,158095643;0,3033028
1-3;0,181856;0,26744;0,235275551;0,060618667;0,100744454;0,157046027;0,2790543
1-4;0,254713;0,233196667;0,204855426;0,084904333;0,112975244;0,160607097;0,2596819
1-5;0,319466;0,199703333;0,175367281;0,106488667;0,127963991;0,16811215;0,2458346
1-6;0,373705;0,165803333;0,145373796;0,124568333;0,143154391;0,176505059;0,2346398
1-7;0,420136;0,133446667;0,127242781;0,140045333;0,156783635;0,184391542;0,2256531
1-8;0,454937;0,121603667;0,162043781;0,151645667;0,163169327;0,189979924;0,216325
1-9;0,479564;0,146230667;0,186670781;0,159854667;0,166607845;0,195410663;0,2108819
1-10;0,494828;0,161494667;0,201934781;0,164942667;0,168859717;0,201109989;0,2071121
1-11;0,5;0,166666667;0,207106781;0,166666667;0,169163669;0,205560063;0,2055634
1-12;0,494977;0,161643667;0,202083781;0,164992333;0,168732517;0,200718315;0,2073386
1-13;0,479586;0,146252667;0,186692781;0,159862;0,166788627;0,195291586;0,210721
1-14;0,454664;0,121330667;0,161770781;0,151554667;0,162961678;0,189757862;0,2174784
1-15;0,419592;0,132993333;0,126698781;0,139864;0,156512397;0,184306532;0,2251665
1-16;0,375545;0,16703;0,146898102;0,125181667;0,143670004;0,17657768;0,2348837
1-17;0,320504;0,20028;0,176083871;0,106834667;0,128472542;0,168418933;0,2458911
1-18;0,253824;0,232773333;0,204329374;0,084608;0,112465885;0,16057142;0,258922
1-19;0,180104;0,26671;0,234368423;0,060034667;0,100151942;0,156665419;0,2787864
1-20;0,095558;0,300206667;0,263860709;0,031852667;0,095020811;0,159252711;0,3032402
1-21;0,0199078;0,326703333;0,287080918;0,006635933;0,100351764;0,166989598;0,3265133
2-1;0,0198424;0,245125;0,2031111;0,0099212;0,07528599;0,1248272;0,2449457
2-2;0,08995;0,22482;0,1861852;0,044975;0,0756599;0,1217636;0,2288383
2-3;0,163452;0,20116;0,1670444;0,081726;0,09105161;0,1284525;0,2155942
2-4;0,216695;0,1747925;0,1447316;0,1083475;0,10923605;0,1369515;0,2055726
2-5;0,25593;0,149555;0,1237427;0,127965;0,1269385;0,1475808;0,1993917
2-6;0,28034;0,123705;0,1505793;0,14017;0,13910468;0,1558373;0,1930198
2-7;0,293649;0,1490565;0,1738647;0,1468245;0,14944305;0,1622923;0,1886208
2-8;0,295129;0,1592765;0,1825851;0,1475645;0,15621262;0,1691733;0,1859279
2-9;0,287737;0,1576295;0,1799524;0,1438685;0,15998888;0,1760864;0,1848062
2-10;0,272703;0,1461055;0,1678262;0,1363515;0,16198565;0,1831526;0,1854654
2-11;0,25013;0,125065;0,1465228;0,125065;0,16252159;0,1861311;0,1868346
2-12;0,272186;0,1459585;0,1676157;0,136093;0,1619403;0,1822013;0,1855549
2-13;0,288733;0,1580155;0,1804431;0,1443665;0,1603469;0,1768079;0,1856393
2-14;0,295078;0,159068;0,1824036;0,147539;0,15608473;0,1691491;0,1847234
2-15;0,294672;0,148772;0,1738045;0,147336;0,1497846;0,1627931;0,1895262
2-16;0,281685;0,125545;0,1523344;0,1408425;0,14036359;0,1560055;0,1938724
2-17;0,256244;0,15042;0,1247561;0,128122;0,12686192;0,1480597;0,2000528
2-18;0,215835;0,17416;0,1439906;0,1079175;0,1084715;0,1369168;0,2045531
2-19;0,162098;0,200065;0,1657616;0,081049;0,09012294;0,1272366;0,2154266
2-20;0,090744;0,22531;0,1867593;0,045372;0,0758848;0,1219815;0,2288676
2-21;0,0197068;0,245055;0,2030291;0,0098534;0,07514077;0,1251098;0,2457165
3-1;0,019642;0,19615;0,1571548;0,0117852;0,06057011;0,09993113;0,1961041
3-2;0,085471;0,179784;0,1439251;0,0512826;0,06512976;0,10023073;0,1845441
3-3;0,146932;0,161392;0,1297276;0,0881592;0,08611778;0,11130822;0,1785282
3-4;0,1844193;0,13975;0,1118489;0,1106516;0,10650708;0,12312223;0,1735703
3-5;0,204694;0,119466;0,1364312;0,1228164;0,12205101;0,1333176;0,1697652
3-6;0,21017;0,140998;0,1547672;0,126102;0,13207849;0,1405804;0,1662496
3-7;0,2049767;0,148418;0,1596764;0,122986;0,14103512;0,14984017;0,1665611
3-8;0,2063093;0,14201;0,15185;0,1237856;0,14633038;0,15769542;0,1680235
3-9;0,229716;0,125652;0,1463667;0,1378296;0,14925184;0,16205669;0,1683213
3-10;0,24536;0,14414;0,1642885;0,147216;0,15155999;0,1658719;0,1683051
3-11;0,25064;0,150384;0,1703406;0,150384;0,15176953;0,16786409;0,1681018
3-12;0,245091;0,144059;0,1641701;0,1470546;0,15116183;0,16519086;0,1686595
3-13;0,230714;0,12627;0,1470603;0,1384284;0,15056807;0,16266739;0,1687219
3-14;0,2069487;0,142165;0,1521184;0,1241692;0,14652979;0,15755534;0,1685819
3-15;0,206394;0,148526;0,160045;0,1238364;0,14191356;0,1501081;0,1663068
3-16;0,211595;0,142755;0,1564581;0,126957;0,13284564;0,14155994;0,1674921
3-17;0,2049407;0,120502;0,1373101;0,1229644;0,12246589;0,13334572;0,1703991
3-18;0,1834437;0,13899;0,110988;0,1100662;0,10585792;0,12255871;0,1724501
3-19;0,145914;0,160078;0,1282392;0,0875484;0,08505472;0,11056687;0,1772155
3-20;0,086154;0,180372;0,1445911;0,0516924;0,06558209;0,10084496;0,1847325
3-21;0,0195064;0,196066;0,1570596;0,01170384;0,06039588;0,10015857;0,1957912
4-1;0,0194436;0,1635;0,1281746;0,0129624;0,05078165;0,0838911;0,1635094
4-2;0,081199;0,14976;0,1172758;0,05413267;0,05871794;0,08624454;0,1554358
4-3;0,132068;0,13488;0,1061956;0,08804533;0,08324201;0,10089488;0,1538674
4-4;0,156965;0,11639;0,1114672;0,10464333;0,10352703;0,11245932;0,1511383
4-5;0,1635155;0,1268063;0,1347498;0,10901033;0,1144697;0,12177335;0,1490609
4-6;0,157595;0,1350017;0,1398906;0,10506333;0,12360114;0,13158424;0,1497941
4-7;0,1842565;0,1302077;0,1329311;0,12283767;0,13181662;0,14021597;0,1521251
4-8;0,2014275;0,127775;0,1437125;0,134285;0,13646865;0,14469044;0,153817
4-9;0,206865;0,13928;0,1539046;0,13791;0,13987237;0,14823454;0,1531031
4-10;0,202533;0,1385697;0,1524106;0,135022;0,14336049;0,15277084;0,1550908
4-11;0,18829;0,1255267;0,1391079;0,12552667;0,14400434;0,15590914;0,1560667
4-12;0,202407;0,1385403;0,1523603;0,134938;0,14297041;0,153042;0,1548653
4-13;0,2077525;0,1397683;0,1544793;0,13850167;0,14027043;0,14902625;0,1538721
4-14;0,2022805;0,1282997;0,1443083;0,13485367;0,1368515;0,14520915;0,1538179
4-15;0,185528;0,1306267;0,1336114;0,12368533;0,13242058;0,14072589;0,152949
4-16;0,1591625;0,1367517;0,1416011;0,10610833;0,12469965;0,1333514;0,1511695
4-17;0,164047;0,1277587;0,135611;0,10936467;0,11511492;0,12245938;0,1505183
4-18;0,1558;0,1155433;0,1105425;0,10386667;0,10251606;0,11166018;0,1501629
4-19;0,1313015;0,1334183;0,1045757;0,08753433;0,08223974;0,099702;0,151834
4-20;0,08179;0,1504133;0,1179998;0,05452667;0,05940328;0,08687801;0,1559206
4-21;0,0193088;0,1634067;0,1280712;0,01287253;0,05058673;0,08378596;0,1633485
5-1;0,0192468;0,1401786;0,10823067;0,01374771;0,04352496;0,07184718;0,1402316
5-2;0,07714;0,1283143;0,09893592;0,0551;0,05456195;0,07668071;0,1343852
5-3;0,118708;0,1159429;0,09000097;0,08479143;0,0808069;0,09287568;0,1354252
5-4;0,133593;0,1060856;0,11236595;0,09542357;0,09789736;0,1042268;0,1344797
5-5;0,130678;0,1226677;0,12449659;0,09334143;0,10732555;0,11466633;0,1352157
5-6;0,157628;0,1212257;0,12047097;0,11259143;0,11659689;0,12403122;0,1375941
5-7;0,17215;0,1199094;0,13183677;0,12296429;0,12358764;0,12945243;0,1400416
5-8;0,174733;0,1308153;0,14084239;0,12480929;0,12986336;0,13506357;0,1418277
5-9;0,165192;0,1271291;0,13581949;0,11799429;0,13287062;0,1399269;0,1429117
5-10;0,182559;0,1276756;0,14020632;0,13039929;0,13515556;0,14312796;0,1448613
5-11;0,18823;0,13445;0,14672882;0,13445;0,13522931;0,14464289;0,1452214
5-12;0,182347;0,1275927;0,14009398;0,13024786;0,13506168;0,14339446;0,1449972
5-13;0,166386;0,1278614;0,1366572;0,11884714;0,13359465;0,14067323;0,1437051
5-14;0,175807;0,1313767;0,14152085;0,12557643;0,13051578;0,13540449;0,1420018
5-15;0,172992;0,1200309;0,13212272;0,12356571;0,12409171;0,1298645;0,1408425
5-16;0,158862;0,1229679;0,12218271;0,11347286;0,11763851;0,12517816;0,1390317
5-17;0,13135;0,1236003;0,12536967;0,09382143;0,10790951;0,11512481;0,1361331
5-18;0,132267;0,1051744;0,11136009;0,09447643;0,09701841;0,10309478;0,1332532
5-19;0,118266;0,1143757;0,0882907;0,08447571;0,08032696;0,09170042;0,1342355
5-20;0,077651;0,1290143;0,09969985;0,055465;0,05520403;0,07744502;0,134902
5-21;0,0191128;0,1400786;0,10812154;0,013652;0,04353812;0,07205635;0,1399756
6-1;0,0190522;0,1226875;0,09366666;0,01428915;0,0383956;0,06302801;0,1229671
6-2;0,07328767;0,1122313;0,08554462;0,05496575;0,05187001;0,06951264;0,1189557
6-3;0,10676;0,10174;0,08300861;0,08007;0,07884697;0,08663941;0,1222839
6-4;0,11366167;0,1062025;0,10797051;0,08524625;0,09176009;0,09789112;0,1217413
6-5;0,13071167;0,1137367;0,11147464;0,09803375;0,10157563;0,10865816;0,124861
6-6;0,14779833;0,10587;0,11580809;0,11084875;0,11074411;0,11584495;0,1279354
6-7;0,15058233;0,1211028;0,12809017;0,11293675;0,11818582;0,12188909;0,1304775
6-8;0,15269667;0,1198172;0,12499439;0,1145225;0,1233287;0,12858603;0,1334048
6-9;0,165349;0,1214902;0,1318859;0,12401175;0,12527207;0,13116886;0,134123
6-10;0,16738;0,12693;0,13651769;0,125535;0,12830376;0,13505022;0,1360004
6-11;0,15693667;0,1177025;0,12700201;0,1177025;0,12928055;0,13708619;0,1363991
6-12;0,16718267;0,1268135;0,13638203;0,125387;0,12806023;0,13451101;0,1359342
6-13;0,16640667;0,12231;0,13276204;0,124805;0,12601812;0,13187786;0,1350179
6-14;0,15393933;0,1205927;0,12592336;0,1154545;0,12415572;0,12934053;0,1337824
6-15;0,151418;0,1211605;0,12833231;0,1135635;0,11868205;0,12198137;0,1305336
6-16;0,1489;0,107725;0,11748453;0,111675;0,11163868;0,11710277;0,129502
6-17;0,131331;0,1148037;0,11255388;0,09849825;0,10233861;0,10937754;0,1261371
6-18;0,11226967;0,1052268;0,1068961;0,08420225;0,09085555;0,09660357;0,1210424
6-19;0,106535;0,1000937;0,08132347;0,07990125;0,0780239;0,08588979;0,1207206
6-20;0,07373033;0,1129638;0,086335;0,05529775;0,05238951;0,07013783;0,1196868
6-21;0,0189188;0,1225825;0,09355337;0,0141891;0,03826944;0,06299076;0,1229466
7-1;0,0188608;0,10908333;0,08256442;0,01466951;0,03440443;0,05642799;0,1094596
7-2;0,06961186;0,09972222;0,07533635;0,05414256;0,0497227;0,06416043;0,107408
7-3;0,09599;0,09069333;0,08411218;0,07465889;0,07608627;0,08135346;0,1113471
7-4;0,10220757;0,10260378;0,10113676;0,07949478;0,08686718;0,09292583;0,1123209
7-5;0,12567514;0,10334422;0,09843487;0,09774733;0,09749547;0,10288684;0,1163783
7-6;0,13297714;0,10884222;0,11472307;0,10342667;0,10567779;0,10920047;0,1191502
7-7;0,135202;0,11345622;0,11651333;0,10515711;0,11246154;0,11649676;0,1228037
7-8;0,14902014;0,11362522;0,12224974;0,11590456;0,11657207;0,12123656;0,1257175
7-9;0,14878886;0,11904378;0,12629162;0,11572467;0,12017682;0,12408109;0,126564
7-10;0,150839;0,11486344;0,12362944;0,11731922;0,12260415;0,12818888;0,129132
7-11;0,15690286;0,12203556;0,13053151;0,12203556;0,12246427;0,12932723;0,1288599
7-12;0,15059557;0,11471589;0,12345853;0,11712989;0,12240866;0,12789716;0,1287392
7-13;0,14993343;0,11989756;0,12721626;0,11661489;0,1206053;0,12497726;0,1274927
7-14;0,15003271;0,11439144;0,12307599;0,11669211;0,11733638;0,12150839;0,1264724
7-15;0,13610514;0,11367511;0,11693265;0,10585956;0,11303392;0,1170105;0,1231791
7-16;0,13394857;0,11054667;0,1162489;0,10418222;0,10655038;0,11024244;0,1210491
7-17;0,125998;0,104386;0,09947858;0,09799844;0,09783272;0,10330234;0,1172098
7-18;0,10094586;0,10159644;0,10005052;0,07851344;0,0859041;0,092059;0,1114507
7-19;0,09596429;0,08898556;0,08263191;0,07463889;0,07560945;0,08068008;0,1101483
7-20;0,07001514;0,10048;0,07614688;0,05445622;0,05036055;0,06477825;0,1076022
7-21;0,0187268;0,10897444;0,08244795;0,01456529;0,03431136;0,05619863;0,109332
